age_group,month,n,mean,median,std,type
"[20,80]",1,461,0.590952161053136,0.578947365283966,0.288271409366977,male
"[20,80]",2,435,0.538502486521143,0.555555582046509,0.332344062177837,male
"[20,80]",3,449,0.582814257557147,0.600000023841858,0.297348214796389,male
"[20,80]",4,408,0.600786581154172,0.630604267120361,0.291626740001675,male
"[20,80]",5,421,0.560337840444508,0.607142865657806,0.328065184782778,male
"[20,80]",6,404,0.594148302523726,0.612007170915604,0.301719533806716,male
"[20,80]",7,431,0.585545796381815,0.607142865657806,0.30946138000777,male
"[20,80]",8,428,0.596878229406447,0.612007170915604,0.302721123071127,male
"[20,80]",9,366,0.611645140204718,0.631578922271729,0.290426758674902,male
"[20,80]",10,399,0.577586168035039,0.611111104488373,0.304073344449563,male
"[20,80]",11,434,0.567533105657011,0.555555582046509,0.30625156010741,male
"[20,80]",12,479,0.593238547346094,0.600000023841858,0.297453215902766,male
"[20,80]",1,782,0.547318943842524,0.5625,0.266781170146704,female
"[20,80]",2,715,0.551222145529971,0.541666686534882,0.297146494876825,female
"[20,80]",3,756,0.541054990947494,0.532624125480652,0.295423417969534,female
"[20,80]",4,718,0.558911480905374,0.569805204868317,0.299434655921887,female
"[20,80]",5,767,0.574790449968868,0.571428596973419,0.290438033144003,female
"[20,80]",6,792,0.560674089383572,0.552631556987763,0.288519456451641,female
"[20,80]",7,796,0.570267927532238,0.587975263595581,0.296502660216687,female
"[20,80]",8,776,0.577313673028443,0.600000023841858,0.293328903717516,female
"[20,80]",9,603,0.560909530909901,0.547619044780731,0.292196575287191,female
"[20,80]",10,699,0.525597452910081,0.54347825050354,0.264716322142644,female
"[20,80]",11,767,0.558951594820758,0.543209850788117,0.295642794014153,female
"[20,80]",12,787,0.512608528458625,0.520833313465118,0.284636146312364,female
"[20,80]",1,1243,0.578886997611341,0.56521737575531,0.282352797537596,both
"[20,80]",2,1150,0.557350309135822,0.549193561077118,0.304324077849947,both
"[20,80]",3,1205,0.559332008063272,0.548387110233307,0.295055387058185,both
"[20,80]",4,1126,0.574071128984218,0.591168105602264,0.297177697694728,both
"[20,80]",5,1188,0.58067595908841,0.588235318660736,0.296843554324462,both
"[20,80]",6,1196,0.571504935251654,0.571428596973419,0.293623900845108,both
"[20,80]",7,1227,0.578451946828626,0.600000023841858,0.299187834724623,both
"[20,80]",8,1204,0.584756398254393,0.602325588464737,0.296347613431875,both
"[20,80]",9,969,0.578347799228807,0.578947365283966,0.293479446767842,both
"[20,80]",10,1098,0.55991797364349,0.56538462638855,0.288574918508933,both
"[20,80]",11,1201,0.560661101190672,0.551724135875702,0.300250514028439,both
"[20,80]",12,1266,0.559338694196597,0.555555582046509,0.298749530595901,both
