age_group,month,n,mean,median,std,type
"[20,80]",1,206730,2.08805823727152,1.86000001430511,1.12531121971038,male
"[20,80]",2,196809,2.0924733299079,1.86000001430511,1.13264959675544,male
"[20,80]",3,214493,2.07043503948931,1.8400000333786,1.1189618506395,male
"[20,80]",4,187526,2.09022473050932,1.86000001430511,1.11526254549658,male
"[20,80]",5,198181,2.109266554097,1.87999999523163,1.12870371005327,male
"[20,80]",6,213547,2.0911953027644,1.86000001430511,1.11598495839906,male
"[20,80]",7,217142,2.11139808936824,1.87999999523163,1.12855886371932,male
"[20,80]",8,205864,2.11609619374095,1.87999999523163,1.12921465576788,male
"[20,80]",9,179431,2.09890643033308,1.87000000476837,1.12862606867689,male
"[20,80]",10,180434,2.04753510724019,1.82000005245209,1.09999220828078,male
"[20,80]",11,196592,2.02015534286351,1.79999995231628,1.07835890710159,male
"[20,80]",12,210720,2.0403086143475,1.82000005245209,1.0862409776808,male
"[20,80]",1,355393,2.2551514059743,1.99000000953674,1.30301366035431,female
"[20,80]",2,341114,2.25583714378575,1.98000001907349,1.31330215963889,female
"[20,80]",3,376589,2.23056739760138,1.97000002861023,1.29075242155799,female
"[20,80]",4,335500,2.24448650615272,1.98000001907349,1.28928625756523,female
"[20,80]",5,368456,2.26007039881154,2,1.28612976426956,female
"[20,80]",6,403218,2.24437110536378,1.99000000953674,1.26360357982328,female
"[20,80]",7,410262,2.27752293012579,2.01999998092651,1.28024143558814,female
"[20,80]",8,389279,2.30871901508851,2.04999995231628,1.28738650567024,female
"[20,80]",9,339544,2.28471352834206,2.01999998092651,1.28516762788315,female
"[20,80]",10,343699,2.20737444067349,1.95000004768372,1.25205477502347,female
"[20,80]",11,366681,2.17742734807233,1.92999994754791,1.22699375242553,female
"[20,80]",12,374441,2.20132394158825,1.95000004768372,1.24869250025892,female
"[20,80]",1,562123,2.19374670274131,1.94000005722046,1.24043649370016,both
"[20,80]",2,537923,2.19601071970271,1.94000005722046,1.2501154923783,both
"[20,80]",3,591082,2.17174808251106,1.91999995708466,1.23151682660059,both
"[20,80]",4,523026,2.18907417807733,1.92999994754791,1.22985236298881,both
"[20,80]",5,566637,2.20726151885456,1.95000004768372,1.23333369520397,both
"[20,80]",6,616765,2.1907925699908,1.94000005722046,1.21590260537574,both
"[20,80]",7,627404,2.21952384549605,1.97000002861023,1.23167007306549,both
"[20,80]",8,595143,2.24169215044879,1.99000000953674,1.23810152524781,both
"[20,80]",9,518975,2.22011989467717,1.97000002861023,1.23616442496953,both
"[20,80]",10,524133,2.15188065786904,1.89999997615814,1.2029410018317,both
"[20,80]",11,563273,2.12204179912191,1.87999999523163,1.17923332521983,both
"[20,80]",12,585161,2.1432747240527,1.89999997615814,1.1936212522866,both
,1,18448,2.46485540524716,2.02999997138977,2.06966122465851,both
,2,18493,2.42656412777594,2.00999999046326,1.84630191221708,both
,3,20342,2.40485190684717,1.99000000953674,1.82554101331062,both
,4,18473,2.39197011114648,2,1.78668509120619,both
,5,20495,2.391584877523,2,1.73630251528347,both
,6,21755,2.38083857627174,1.99000000953674,1.75612813128759,both
,7,21370,2.34131997806354,1.97000002861023,1.62590305425251,both
,8,18619,2.34912216265973,1.96000003814697,1.69451607146118,both
,9,15880,2.34684989951395,1.97000002861023,1.73020266408319,both
,10,16509,2.31872451500798,1.94000005722046,1.66710112764697,both
,11,17251,2.32635505576951,1.94000005722046,1.68177733157854,both
,12,17649,2.34848257666274,1.97000002861023,1.74207103670326,both
