age_group,month,n,mean,median,std,type
"[20,80]",1,93,307.641956329346,280,155.242462236335,male
"[20,80]",2,72,361.396272713797,335.585006713867,184.222875584854,male
"[20,80]",3,70,329.398309483248,280.384994506836,167.0461613647,male
"[20,80]",4,65,359.333476475307,292.511993408203,198.48222493908,male
"[20,80]",5,64,340.788320479855,304.850006103516,175.652977131929,male
"[20,80]",6,78,326.99405358967,269.845001220703,213.889922211424,male
"[20,80]",7,72,293.897301047189,250.685005187988,163.495856060087,male
"[20,80]",8,67,264.733614877554,243.759994506836,139.372186743238,male
"[20,80]",9,65,346.986460731143,305,191.559573479979,male
"[20,80]",10,82,348.844888114929,301.464996337891,250.242007306547,male
"[20,80]",11,76,298.299363316716,261.764999389648,162.974023171239,male
"[20,80]",12,83,322.119260340561,268.690002441406,206.91074435528,male
"[20,80]",1,88,414.608315401299,376.975006103516,211.92824894428,female
"[20,80]",2,89,428.808104241031,402,257.772329926576,female
"[20,80]",3,98,406.958562612534,340.854995727539,265.551369309072,female
"[20,80]",4,82,375.652298355103,297,254.652828564874,female
"[20,80]",5,88,404.873836339906,347.5,226.76524014767,female
"[20,80]",6,107,384.786267816453,290,240.884894745148,female
"[20,80]",7,90,422.386867480332,302.204498291016,378.329823317923,female
"[20,80]",8,84,393.890317870349,361.434997558594,211.914804526306,female
"[20,80]",9,75,392.40545194443,370,200.714312318823,female
"[20,80]",10,99,395.648298125906,317,271.174602162903,female
"[20,80]",11,80,423.110358115954,335.5,310.513781068096,female
"[20,80]",12,105,407.591747987618,317,270.707168417031,female
"[20,80]",1,181,360.057528262668,341,194.195757097883,both
"[20,80]",2,161,402.197692775127,357.329986572266,240.221632755052,both
"[20,80]",3,168,375.971970156015,315.005004882813,235.287598978208,both
"[20,80]",4,147,371.983330351731,292.511993408203,238.787328916831,both
"[20,80]",5,152,379.420171966553,324.929992675781,212.889773099482,both
"[20,80]",6,185,364.443285457424,285.309997558594,242.746580310994,both
"[20,80]",7,162,367.155479999803,274.115005493164,310.520628100914,both
"[20,80]",8,151,338.996584028206,277,200.107727087376,both
"[20,80]",9,140,374.193297151206,340,206.316271268434,both
"[20,80]",10,181,379.080871326297,307,274.969253833041,both
"[20,80]",11,156,363.900784727815,290,259.420817427327,both
"[20,80]",12,188,374.565430794993,306,261.291654557246,both
,1,2,,166.615501403809,,both
,2,2,,1090.49500274658,,both
,3,1,535,535,,both
,5,2,,201.339996337891,,both
,6,2,,193.879997253418,,both
,7,2,,451,,both
,9,1,296.390014648438,296.390014648438,,both
,10,4,206.339996337891,206.339996337891,37.2503800539026,both
,12,1,515,515,,both
